regulatorid,reportcode,queryid,channel,reporttype,deliverydatefrom,deliverydateto,inserttmstmp,reportschedule,reportfrequencydaily,reportfrequencymonth,lastdayofmonth,reportformat,reportstatus,partition
XCAED,RECO000,R0121F,TRACE,RRECU,2024-04-10 10:33:10.000000000,2024-04-23 00:00:00.000000000,2024-04-10 10:33:27.405313000,D,\N,,false,XML,ACTIVE,\N
XCAED,RJCT000,R0121D,TRACE,RRECU,2024-04-10 10:33:10.000000000,2024-04-23 00:00:00.000000000,2024-04-10 10:33:24.444183000,D,\N,,false,XML,ACTIVE,\N
XCAED,TRAR000,R01221,TRACE,RRECU,2024-04-10 10:33:21.000000000,2024-04-23 00:00:00.000000000,2024-04-10 10:33:34.794212000,D,\N,,false,XML,ACTIVE,\N
eudrm01xw000,TPST000,SR00008,RG,RRECU,2025-07-03 00:00:00.000000000,2034-08-18 00:00:00.000000000,2025-07-04 00:00:00.000000000,D,,,false,XML,ACTIVE,\N
eudrm01xw000,TRAR000,SR11111,RG,RRECU,2024-04-29 00:00:00.000000000,2027-04-29 00:00:00.000000000,2024-12-04 17:22:16.031000000,D,,,false,XML,ACTIVE,\N
eudrm01xw000,TRTS000,SR11112,RG,RRECU,2024-04-29 00:00:00.000000000,2027-04-29 00:00:00.000000000,2024-12-04 17:22:16.031000000,D,,,false,XML,ACTIVE,\N
eudrm0f9u000,MRAR000,R0118B,TRACE,RRECU,2024-02-14 13:32:33.000000000,2024-08-14 00:00:00.000000000,2024-02-14 13:32:47.347000000,D,,,false,XML,ACTIVE,\N
eudrm0f9u000,MRTS000,R0118C,TRACE,RRECU,2024-02-14 13:32:55.000000000,2024-08-14 00:00:00.000000000,2024-02-14 13:33:08.539000000,D,,,false,XML,ACTIVE,\N
eudrm0f9u000,TPST000,R013BD,TRACE,RRECU,2024-10-07 11:51:56.000000000,2024-10-19 00:00:00.000000000,2024-10-07 11:52:11.801416000,D,\N,,false,XML,ACTIVE,\N
eudrm0f9u000,TPST000,R013EE,TRACE,RRECU,2025-03-24 12:17:16.000000000,2026-07-28 00:00:00.000000000,2025-03-24 12:17:25.679751000,D,\N,,false,XML,ACTIVE,\N
eudrm0f9u000,TRAR000,R01189,TRACE,RRECU,2024-02-14 13:26:53.000000000,2025-01-16 00:00:00.000000000,2024-02-14 13:27:12.891000000,D,\N,,false,XML,ACTIVE,\N
eudrm0f9u000,TRTS000,R0118A,TRACE,RRECU,2024-02-14 13:32:23.000000000,2025-01-16 00:00:00.000000000,2024-02-14 13:32:36.345000000,D,\N,,false,XML,ACTIVE,\N
eudrm0k2g000,MRAR000,R0115E,TRACE,RRECU,2024-02-12 10:13:49.000000000,2024-08-12 00:00:00.000000000,2024-02-12 10:14:02.756000000,D,,,false,XML,ACTIVE,\N
eudrm0k2g000,MRTS000,R0115F,TRACE,RRECU,2024-02-12 10:13:59.000000000,2024-08-12 00:00:00.000000000,2024-02-12 10:14:13.946000000,D,,,false,XML,ACTIVE,\N
eudrm0k2g000,RJCT000,R0115C,TRACE,RRECU,2024-02-12 10:13:17.000000000,2024-08-12 00:00:00.000000000,2024-02-12 10:13:30.445000000,D,,,false,XML,ACTIVE,\N
eudrm0k2g000,TPST000,R0115D,TRACE,RRECU,2024-02-12 10:13:27.000000000,2024-08-12 00:00:00.000000000,2024-02-12 10:13:41.250000000,D,,,false,XML,ACTIVE,\N
eudrm0k2g000,TRAR000,R01159,TRACE,RRECU,2024-02-12 10:07:47.000000000,2024-08-12 00:00:00.000000000,2024-02-12 10:08:02.269000000,D,,,false,XML,ACTIVE,\N
eudrm0k2g000,TRTS000,R0115A,TRACE,RRECU,2024-02-12 10:07:58.000000000,2024-08-12 00:00:00.000000000,2024-02-12 10:08:11.832000000,D,,,false,XML,ACTIVE,\N
eudrm0k2g000,WARN000,R01160,TRACE,RRECU,2024-02-12 10:19:19.000000000,2024-08-12 00:00:00.000000000,2024-02-12 10:19:33.111000000,D,,,false,XML,ACTIVE,\N
eudrm0pbp000,MRAR000,SR0004A,RG,RRECU,2024-09-04 00:00:00.000000000,2026-09-04 00:00:00.000000000,2024-11-21 00:00:00.000000000,D,,,false,XML,ACTIVE,\N
eudrm0pbp000,MRTS000,SR0004B,RG,RRECU,2024-09-04 00:00:00.000000000,2026-09-04 00:00:00.000000000,2024-11-21 00:00:00.000000000,D,,,false,XML,ACTIVE,\N
eudrm0pbp000,RECO000,SR0004G,RG,RRECU,2024-09-04 00:00:00.000000000,2026-09-04 00:00:00.000000000,2024-11-21 00:00:00.000000000,D,,,false,XML,ACTIVE,\N
eudrm0pbp000,RJCT000,SR0004C,RG,RRECU,2024-09-04 00:00:00.000000000,2026-09-04 00:00:00.000000000,2024-11-21 00:00:00.000000000,D,,,false,XML,ACTIVE,\N
eudrm0pbp000,TRAR000,SR0004D,RG,RRECU,2024-09-04 00:00:00.000000000,2026-09-04 00:00:00.000000000,2024-11-21 00:00:00.000000000,D,,,false,XML,ACTIVE,\N
eudrm0pbp000,TRTS000,SR0004E,RG,RRECU,2024-09-04 00:00:00.000000000,2026-09-04 00:00:00.000000000,2024-11-21 00:00:00.000000000,D,,,false,XML,ACTIVE,\N
eudrm0pbp000,WARN000,SR0004F,RG,RRECU,2024-09-04 00:00:00.000000000,2026-09-04 00:00:00.000000000,2024-11-21 00:00:00.000000000,D,,,false,XML,ACTIVE,\N
eudrm10pq000,MRAR000,R011C4,TRACE,RRECU,2024-02-20 12:55:53.000000000,2025-01-29 00:00:00.000000000,2024-02-20 12:56:06.890000000,D,\N,,false,XML,ACTIVE,\N
eudrm10pq000,MRTS000,R011C5,TRACE,RRECU,2024-02-20 12:56:03.000000000,2025-01-29 00:00:00.000000000,2024-02-20 12:56:18.296000000,D,\N,,false,XML,ACTIVE,\N
eudrm10pq000,RECO000,R011C2,TRACE,RRECU,2024-02-20 12:49:33.000000000,2026-05-10 00:00:00.000000000,2024-02-20 12:49:46.208000000,D,\N,,false,XML,ACTIVE,\N
eudrm10pq000,RJCT000,R011C3,TRACE,RRECU,2024-02-20 12:49:43.000000000,2025-01-25 00:00:00.000000000,2024-02-20 12:49:57.023000000,D,\N,,false,XML,ACTIVE,\N
eudrm10pq000,TRAR000,R011C0,TRACE,RRECU,2024-02-20 12:49:00.000000000,2025-01-29 00:00:00.000000000,2024-02-20 12:49:13.789000000,D,\N,,false,XML,ACTIVE,\N
eudrm10pq000,TRTS000,R011C1,TRACE,RRECU,2024-02-20 12:49:10.000000000,2026-05-04 00:00:00.000000000,2024-02-20 12:49:24.638000000,D,\N,,false,XML,ACTIVE,\N
eudrm10pq000,WARN000,R011C6,TRACE,RRECU,2024-02-20 12:56:26.000000000,2024-04-17 00:00:00.000000000,2024-02-20 12:56:40.376000000,D,\N,,false,XML,ACTIVE,\N
eudrm1cxk000,MRAR000,R011F2,TRACE,RRECU,2024-02-28 14:34:36.000000000,2024-04-17 00:00:00.000000000,2024-02-28 14:34:50.529000000,D,\N,,false,XML,ACTIVE,\N
eudrm1cxk000,MRTS000,R011F3,TRACE,RRECU,2024-02-28 14:34:47.000000000,2024-04-17 00:00:00.000000000,2024-02-28 14:35:01.473000000,D,\N,,false,XML,ACTIVE,\N
eudrm1cxk000,RECO000,R011F0,TRACE,RRECU,2024-02-28 14:34:03.000000000,2024-04-17 00:00:00.000000000,2024-02-28 14:34:17.832000000,D,\N,,false,XML,ACTIVE,\N
eudrm1cxk000,RJCT000,R011F1,TRACE,RRECU,2024-02-28 14:34:26.000000000,2024-04-17 00:00:00.000000000,2024-02-28 14:34:39.353000000,D,\N,,false,XML,ACTIVE,\N
eudrm1cxk000,TRAR000,R011EE,TRACE,RRECU,2024-02-28 14:27:53.000000000,2024-04-17 00:00:00.000000000,2024-02-28 14:28:06.872000000,D,\N,,false,XML,ACTIVE,\N
eudrm1cxk000,TRTS000,R011EF,TRACE,RRECU,2024-02-28 14:33:53.000000000,2024-04-17 00:00:00.000000000,2024-02-28 14:34:07.034000000,D,\N,,false,XML,ACTIVE,\N
eudrm1cxk000,WARN000,R011F4,TRACE,RRECU,2024-02-28 14:35:09.000000000,2024-04-17 00:00:00.000000000,2024-02-28 14:35:22.733000000,D,\N,,false,XML,ACTIVE,\N
eudrm1g1k000,MRAR000,R01205,TRACE,RRECU,2024-03-07 10:53:25.000000000,2024-03-11 00:00:00.000000000,2024-03-07 10:53:38.280000000,D,,,false,XML,ACTIVE,\N
eudrm1g1k000,MRAR000,R012BD,TRACE,RRECU,2024-04-04 00:00:00.000000000,2024-12-04 00:00:00.000000000,2024-04-10 00:00:00.000000000,D,,,false,XML,ACTIVE,\N
eudrm1g1k000,MRTS000,R01204,TRACE,RRECU,2024-03-07 10:47:45.000000000,2024-03-08 00:00:00.000000000,2024-03-07 10:47:59.700000000,D,,,false,XML,ACTIVE,\N
eudrm1g1k000,MRTS000,R012BE,TRACE,RRECU,2024-04-04 00:00:00.000000000,2024-12-04 00:00:00.000000000,2024-04-10 00:00:00.000000000,D,,,false,XML,ACTIVE,\N
eudrm1g1k000,RECO000,R012C1,TRACE,RRECU,2024-05-04 00:00:00.000000000,2024-12-04 00:00:00.000000000,2024-04-10 00:00:00.000000000,D,,,false,XML,ACTIVE,\N
